날짜,제품명,채널,판매수량,매출액,환불건수
2026-04-05,감바스 알 아히요,스마트스토어,21,270900,1
2026-04-05,감바스 알 아히요,쿠팡,33,425700,0
2026-04-05,들기름막국수,자사몰,5,49500,1
2026-04-05,들기름막국수,스마트스토어,7,69300,1
2026-04-05,들기름막국수,쿠팡,9,89100,0
2026-04-05,트러플리조또,자사몰,10,149000,0
2026-04-05,트러플리조또,스마트스토어,12,178800,0
2026-04-05,트러플리조또,쿠팡,14,208600,1
2026-04-06,감바스 알 아히요,자사몰,12,154800,0
2026-04-06,감바스 알 아히요,스마트스토어,21,270900,0
2026-04-06,감바스 알 아히요,쿠팡,29,374100,0
2026-04-06,들기름막국수,자사몰,5,49500,0
2026-04-06,들기름막국수,스마트스토어,7,69300,0
2026-04-06,들기름막국수,쿠팡,9,89100,0
2026-04-06,트러플리조또,자사몰,9,134100,0
2026-04-06,트러플리조또,스마트스토어,13,193700,0
2026-04-06,트러플리조또,쿠팡,12,178800,0
2026-04-07,감바스 알 아히요,자사몰,16,206400,2
2026-04-07,감바스 알 아히요,스마트스토어,18,232200,0
2026-04-07,감바스 알 아히요,쿠팡,25,322500,0
2026-04-07,들기름막국수,자사몰,7,69300,0
2026-04-07,들기름막국수,스마트스토어,9,89100,0
2026-04-07,들기름막국수,쿠팡,9,89100,0
2026-04-07,트러플리조또,자사몰,9,134100,1
2026-04-07,트러플리조또,스마트스토어,13,193700,1
2026-04-07,트러플리조또,쿠팡,14,208600,0
2026-04-08,감바스 알 아히요,자사몰,14,180600,0
2026-04-08,감바스 알 아히요,스마트스토어,22,283800,1
2026-04-08,감바스 알 아히요,쿠팡,28,361200,0
2026-04-08,들기름막국수,자사몰,7,69300,1
2026-04-08,들기름막국수,스마트스토어,9,89100,0
2026-04-08,들기름막국수,쿠팡,11,108900,0
2026-04-08,트러플리조또,자사몰,9,134100,0
2026-04-08,트러플리조또,스마트스토어,10,149000,0
2026-04-08,트러플리조또,쿠팡,13,193700,1
2026-04-09,감바스 알 아히요,자사몰,14,180600,0
2026-04-09,감바스 알 아히요,스마트스토어,16,206400,0
2026-04-09,감바스 알 아히요,쿠팡,26,335400,1
2026-04-09,들기름막국수,자사몰,6,59400,0
2026-04-09,들기름막국수,스마트스토어,8,79200,0
2026-04-09,들기름막국수,쿠팡,11,108900,1
2026-04-09,트러플리조또,자사몰,11,163900,0
2026-04-09,트러플리조또,스마트스토어,13,193700,0
2026-04-09,트러플리조또,쿠팡,17,253300,0
2026-04-10,감바스 알 아히요,자사몰,15,193500,0
2026-04-10,감바스 알 아히요,스마트스토어,20,258000,0
2026-04-10,감바스 알 아히요,쿠팡,21,270900,1
2026-04-10,들기름막국수,자사몰,6,59400,0
2026-04-10,들기름막국수,스마트스토어,8,79200,0
2026-04-10,들기름막국수,쿠팡,8,79200,0
2026-04-10,트러플리조또,자사몰,10,149000,1
2026-04-10,트러플리조또,스마트스토어,14,208600,0
2026-04-10,트러플리조또,쿠팡,12,178800,1
2026-04-11,감바스 알 아히요,자사몰,16,206400,0
2026-04-11,감바스 알 아히요,스마트스토어,19,245100,1
2026-04-11,감바스 알 아히요,쿠팡,25,322500,0
2026-04-11,들기름막국수,자사몰,7,69300,0
2026-04-11,들기름막국수,스마트스토어,9,89100,0
2026-04-11,들기름막국수,쿠팡,12,118800,1
2026-04-11,트러플리조또,자사몰,9,134100,0
2026-04-11,트러플리조또,스마트스토어,12,178800,1
2026-04-11,트러플리조또,쿠팡,13,193700,0
2026-04-12,감바스 알 아히요,자사몰,13,167700,0
2026-04-12,감바스 알 아히요,스마트스토어,24,309600,0
2026-04-12,감바스 알 아히요,쿠팡,25,322500,0
2026-04-12,들기름막국수,자사몰,9,89100,1
2026-04-12,들기름막국수,스마트스토어,8,79200,0
2026-04-12,들기름막국수,쿠팡,12,118800,0
2026-04-12,트러플리조또,자사몰,9,134100,0
2026-04-12,트러플리조또,스마트스토어,11,163900,0
2026-04-12,트러플리조또,쿠팡,15,223500,0
2026-04-13,감바스 알 아히요,자사몰,16,206400,0
2026-04-13,감바스 알 아히요,스마트스토어,22,283800,0
2026-04-13,감바스 알 아히요,쿠팡,28,361200,0
2026-04-13,들기름막국수,자사몰,8,79200,0
2026-04-13,들기름막국수,스마트스토어,7,69300,1
2026-04-13,들기름막국수,쿠팡,11,108900,0
2026-04-13,트러플리조또,자사몰,12,178800,0
2026-04-13,트러플리조또,스마트스토어,10,149000,0
2026-04-13,트러플리조또,쿠팡,13,193700,1
2026-04-14,감바스 알 아히요,자사몰,16,206400,0
2026-04-14,감바스 알 아히요,스마트스토어,19,245100,0
2026-04-14,감바스 알 아히요,쿠팡,25,322500,0
2026-04-14,들기름막국수,자사몰,7,69300,0
2026-04-14,들기름막국수,스마트스토어,8,79200,0
2026-04-14,들기름막국수,쿠팡,10,99000,0
2026-04-14,트러플리조또,자사몰,9,134100,0
2026-04-14,트러플리조또,스마트스토어,11,163900,0
2026-04-14,트러플리조또,쿠팡,16,238400,0
2026-04-15,감바스 알 아히요,자사몰,14,180600,0
2026-04-15,감바스 알 아히요,스마트스토어,21,270900,0
2026-04-15,감바스 알 아히요,쿠팡,28,361200,0
2026-04-15,들기름막국수,자사몰,8,79200,0
2026-04-15,들기름막국수,스마트스토어,10,99000,0
2026-04-15,들기름막국수,쿠팡,12,118800,0
2026-04-15,트러플리조또,자사몰,9,134100,0
2026-04-15,트러플리조또,스마트스토어,12,178800,1
2026-04-15,트러플리조또,쿠팡,13,193700,0
2026-04-16,감바스 알 아히요,자사몰,12,154800,0
2026-04-16,감바스 알 아히요,스마트스토어,22,283800,3
2026-04-16,감바스 알 아히요,쿠팡,29,374100,1
2026-04-16,들기름막국수,자사몰,6,59400,0
2026-04-16,들기름막국수,스마트스토어,10,99000,0
2026-04-16,들기름막국수,쿠팡,12,118800,1
2026-04-16,트러플리조또,자사몰,8,119200,0
2026-04-16,트러플리조또,스마트스토어,10,149000,0
2026-04-16,트러플리조또,쿠팡,11,163900,0
2026-04-17,감바스 알 아히요,자사몰,15,193500,0
2026-04-17,감바스 알 아히요,스마트스토어,21,270900,0
2026-04-17,감바스 알 아히요,쿠팡,28,361200,0
2026-04-17,들기름막국수,자사몰,6,59400,0
2026-04-17,들기름막국수,스마트스토어,8,79200,0
2026-04-17,들기름막국수,쿠팡,9,89100,0
2026-04-17,트러플리조또,자사몰,9,134100,0
2026-04-17,트러플리조또,스마트스토어,10,149000,0
2026-04-17,트러플리조또,쿠팡,14,208600,0
2026-04-18,감바스 알 아히요,자사몰,16,206400,1
2026-04-18,감바스 알 아히요,스마트스토어,21,270900,1
2026-04-18,감바스 알 아히요,쿠팡,30,387000,1
2026-04-18,들기름막국수,자사몰,8,79200,0
2026-04-18,들기름막국수,스마트스토어,9,89100,0
2026-04-18,들기름막국수,쿠팡,11,108900,0
2026-04-18,트러플리조또,자사몰,10,149000,0
2026-04-18,트러플리조또,스마트스토어,11,163900,1
2026-04-18,트러플리조또,쿠팡,14,208600,0
2026-04-19,감바스 알 아히요,자사몰,18,232200,0
2026-04-19,감바스 알 아히요,스마트스토어,23,296700,0
2026-04-19,감바스 알 아히요,쿠팡,33,425700,1
2026-04-19,들기름막국수,자사몰,9,89100,0
2026-04-19,들기름막국수,스마트스토어,11,108900,0
2026-04-19,들기름막국수,쿠팡,14,138600,0
2026-04-19,트러플리조또,자사몰,11,163900,1
2026-04-19,트러플리조또,스마트스토어,12,178800,1
2026-04-19,트러플리조또,쿠팡,18,268200,1
2026-04-20,감바스 알 아히요,자사몰,13,167700,1
2026-04-20,감바스 알 아히요,스마트스토어,22,283800,0
2026-04-20,감바스 알 아히요,쿠팡,26,335400,1
2026-04-20,들기름막국수,자사몰,7,69300,0
2026-04-20,들기름막국수,스마트스토어,9,89100,1
2026-04-20,들기름막국수,쿠팡,10,99000,0
2026-04-20,트러플리조또,자사몰,10,149000,0
2026-04-20,트러플리조또,스마트스토어,10,149000,0
2026-04-20,트러플리조또,쿠팡,13,193700,1
2026-04-21,감바스 알 아히요,자사몰,15,193500,0
2026-04-21,감바스 알 아히요,스마트스토어,23,296700,0
2026-04-21,감바스 알 아히요,쿠팡,29,374100,0
2026-04-21,들기름막국수,자사몰,8,79200,0
2026-04-21,들기름막국수,스마트스토어,11,108900,0
2026-04-21,들기름막국수,쿠팡,10,99000,0
2026-04-21,트러플리조또,자사몰,11,163900,0
2026-04-21,트러플리조또,스마트스토어,10,149000,0
2026-04-21,트러플리조또,쿠팡,11,163900,0
2026-04-22,감바스 알 아히요,자사몰,12,154800,0
2026-04-22,감바스 알 아히요,스마트스토어,22,283800,0
2026-04-22,감바스 알 아히요,쿠팡,27,348300,0
2026-04-22,들기름막국수,자사몰,7,69300,0
2026-04-22,들기름막국수,스마트스토어,8,79200,0
2026-04-22,들기름막국수,쿠팡,9,89100,0
2026-04-22,트러플리조또,자사몰,10,149000,0
2026-04-22,트러플리조또,스마트스토어,13,193700,0
2026-04-22,트러플리조또,쿠팡,15,223500,0
2026-04-23,감바스 알 아히요,자사몰,17,219300,0
2026-04-23,감바스 알 아히요,스마트스토어,20,258000,0
2026-04-23,감바스 알 아히요,쿠팡,26,335400,0
2026-04-23,들기름막국수,자사몰,6,59400,0
2026-04-23,들기름막국수,스마트스토어,8,79200,0
2026-04-23,들기름막국수,쿠팡,11,108900,0
2026-04-23,트러플리조또,자사몰,10,149000,0
2026-04-23,트러플리조또,스마트스토어,10,149000,0
2026-04-23,트러플리조또,쿠팡,14,208600,0
2026-04-24,감바스 알 아히요,자사몰,14,180600,0
2026-04-24,감바스 알 아히요,스마트스토어,20,258000,1
2026-04-24,감바스 알 아히요,쿠팡,24,309600,0
2026-04-24,들기름막국수,자사몰,7,69300,0
2026-04-24,들기름막국수,스마트스토어,9,89100,0
2026-04-24,들기름막국수,쿠팡,13,128700,1
2026-04-24,트러플리조또,자사몰,10,149000,1
2026-04-24,트러플리조또,스마트스토어,11,163900,2
2026-04-24,트러플리조또,쿠팡,15,223500,0
2026-04-25,감바스 알 아히요,자사몰,16,206400,0
2026-04-25,감바스 알 아히요,스마트스토어,20,258000,0
2026-04-25,감바스 알 아히요,쿠팡,30,387000,0
2026-04-25,들기름막국수,자사몰,9,89100,0
2026-04-25,들기름막국수,스마트스토어,10,99000,1
2026-04-25,들기름막국수,쿠팡,14,138600,1
2026-04-25,트러플리조또,자사몰,10,149000,0
2026-04-25,트러플리조또,스마트스토어,11,163900,0
2026-04-25,트러플리조또,쿠팡,14,208600,1
2026-04-26,감바스 알 아히요,자사몰,13,167700,1
2026-04-26,감바스 알 아히요,스마트스토어,24,309600,0
2026-04-26,감바스 알 아히요,쿠팡,24,309600,0
2026-04-26,들기름막국수,자사몰,11,108900,0
2026-04-26,들기름막국수,스마트스토어,10,99000,0
2026-04-26,들기름막국수,쿠팡,14,138600,0
2026-04-26,트러플리조또,자사몰,13,193700,0
2026-04-26,트러플리조또,스마트스토어,14,208600,1
2026-04-26,트러플리조또,쿠팡,14,208600,0
2026-04-27,감바스 알 아히요,자사몰,12,154800,1
2026-04-27,감바스 알 아히요,스마트스토어,18,232200,0
2026-04-27,감바스 알 아히요,쿠팡,28,361200,2
2026-04-27,들기름막국수,자사몰,8,79200,0
2026-04-27,들기름막국수,스마트스토어,9,89100,0
2026-04-27,들기름막국수,쿠팡,12,118800,0
2026-04-27,트러플리조또,자사몰,9,134100,1
2026-04-27,트러플리조또,스마트스토어,10,149000,0
2026-04-27,트러플리조또,쿠팡,15,223500,0
2026-04-28,감바스 알 아히요,자사몰,16,206400,0
2026-04-28,감바스 알 아히요,스마트스토어,21,270900,0
2026-04-28,감바스 알 아히요,쿠팡,29,374100,0
2026-04-28,들기름막국수,자사몰,8,79200,0
2026-04-28,들기름막국수,스마트스토어,8,79200,2
2026-04-28,들기름막국수,쿠팡,12,118800,0
2026-04-28,트러플리조또,자사몰,10,149000,1
2026-04-28,트러플리조또,스마트스토어,12,178800,0
2026-04-28,트러플리조또,쿠팡,13,193700,0
2026-04-29,감바스 알 아히요,자사몰,14,180600,0
2026-04-29,감바스 알 아히요,스마트스토어,17,219300,0
2026-04-29,감바스 알 아히요,쿠팡,25,322500,2
2026-04-29,들기름막국수,자사몰,8,79200,0
2026-04-29,들기름막국수,스마트스토어,12,118800,1
2026-04-29,들기름막국수,쿠팡,14,138600,0
2026-04-29,트러플리조또,자사몰,9,134100,0
2026-04-29,트러플리조또,스마트스토어,14,208600,1
2026-04-29,트러플리조또,쿠팡,15,223500,2
2026-04-30,감바스 알 아히요,자사몰,14,180600,0
2026-04-30,감바스 알 아히요,스마트스토어,18,232200,1
2026-04-30,감바스 알 아히요,쿠팡,22,283800,0
2026-04-30,들기름막국수,자사몰,8,79200,0
2026-04-30,들기름막국수,스마트스토어,12,118800,0
2026-04-30,들기름막국수,쿠팡,14,138600,0
2026-04-30,트러플리조또,자사몰,11,163900,0
2026-04-30,트러플리조또,스마트스토어,12,178800,0
2026-04-30,트러플리조또,쿠팡,12,178800,0
2026-05-01,감바스 알 아히요,자사몰,16,206400,1
2026-05-01,감바스 알 아히요,스마트스토어,20,258000,0
2026-05-01,감바스 알 아히요,쿠팡,29,374100,1
2026-05-01,들기름막국수,자사몰,9,89100,0
2026-05-01,들기름막국수,스마트스토어,10,99000,1
2026-05-01,들기름막국수,쿠팡,14,138600,1
2026-05-01,트러플리조또,자사몰,9,134100,0
2026-05-01,트러플리조또,스마트스토어,13,193700,1
2026-05-01,트러플리조또,쿠팡,12,178800,0
2026-05-02,감바스 알 아히요,자사몰,14,180600,0
2026-05-02,감바스 알 아히요,스마트스토어,26,335400,0
2026-05-02,감바스 알 아히요,쿠팡,31,399900,0
2026-05-02,들기름막국수,자사몰,10,99000,0
2026-05-02,들기름막국수,스마트스토어,13,128700,1
2026-05-02,들기름막국수,쿠팡,13,128700,1
2026-05-02,트러플리조또,자사몰,13,193700,1
2026-05-02,트러플리조또,스마트스토어,15,223500,1
2026-05-02,트러플리조또,쿠팡,18,268200,0
2026-05-03,감바스 알 아히요,자사몰,15,193500,0
2026-05-03,감바스 알 아히요,스마트스토어,24,309600,0
2026-05-03,감바스 알 아히요,쿠팡,29,374100,1
2026-05-03,들기름막국수,자사몰,9,89100,0
2026-05-03,들기름막국수,스마트스토어,12,118800,0
2026-05-03,들기름막국수,쿠팡,13,128700,0
2026-05-03,트러플리조또,자사몰,10,149000,0
2026-05-03,트러플리조또,스마트스토어,13,193700,0
2026-05-03,트러플리조또,쿠팡,12,178800,0
2026-05-04,감바스 알 아히요,자사몰,17,219300,1
2026-05-04,감바스 알 아히요,스마트스토어,22,283800,0
2026-05-04,감바스 알 아히요,쿠팡,25,322500,3
2026-05-04,들기름막국수,자사몰,9,89100,0
2026-05-04,들기름막국수,스마트스토어,9,89100,1
2026-05-04,들기름막국수,쿠팡,13,128700,0
2026-05-04,트러플리조또,자사몰,10,149000,0
2026-05-04,트러플리조또,스마트스토어,13,193700,0
2026-05-04,트러플리조또,쿠팡,15,223500,0
2026-05-05,감바스 알 아히요,자사몰,13,167700,0
2026-05-05,감바스 알 아히요,스마트스토어,22,283800,0
2026-05-05,감바스 알 아히요,쿠팡,26,335400,0
2026-05-05,들기름막국수,자사몰,7,69300,0
2026-05-05,들기름막국수,스마트스토어,12,118800,0
2026-05-05,들기름막국수,쿠팡,13,128700,0
2026-05-05,트러플리조또,자사몰,10,149000,0
2026-05-05,트러플리조또,스마트스토어,14,208600,0
2026-05-05,트러플리조또,쿠팡,11,163900,1
2026-05-06,감바스 알 아히요,자사몰,13,167700,0
2026-05-06,감바스 알 아히요,스마트스토어,19,245100,0
2026-05-06,감바스 알 아히요,쿠팡,23,296700,0
2026-05-06,들기름막국수,자사몰,7,69300,1
2026-05-06,들기름막국수,스마트스토어,9,89100,0
2026-05-06,들기름막국수,쿠팡,15,148500,1
2026-05-06,트러플리조또,자사몰,9,134100,0
2026-05-06,트러플리조또,스마트스토어,13,193700,1
2026-05-06,트러플리조또,쿠팡,16,238400,0
2026-05-07,감바스 알 아히요,자사몰,17,219300,0
2026-05-07,감바스 알 아히요,스마트스토어,19,245100,0
2026-05-07,감바스 알 아히요,쿠팡,22,283800,1
2026-05-07,들기름막국수,자사몰,10,99000,0
2026-05-07,들기름막국수,스마트스토어,11,108900,1
2026-05-07,들기름막국수,쿠팡,13,128700,1
2026-05-07,트러플리조또,자사몰,11,163900,0
2026-05-07,트러플리조또,스마트스토어,10,149000,0
2026-05-07,트러플리조또,쿠팡,13,193700,0
2026-05-08,감바스 알 아히요,자사몰,14,180600,0
2026-05-08,감바스 알 아히요,스마트스토어,16,206400,0
2026-05-08,감바스 알 아히요,쿠팡,29,374100,0
2026-05-08,들기름막국수,자사몰,9,89100,0
2026-05-08,들기름막국수,스마트스토어,11,108900,1
2026-05-08,들기름막국수,쿠팡,13,128700,1
2026-05-08,트러플리조또,자사몰,10,149000,0
2026-05-08,트러플리조또,스마트스토어,14,208600,0
2026-05-08,트러플리조또,쿠팡,12,178800,0
2026-05-09,감바스 알 아히요,자사몰,18,232200,0
2026-05-09,감바스 알 아히요,스마트스토어,26,335400,0
2026-05-09,감바스 알 아히요,쿠팡,30,387000,0
2026-05-09,들기름막국수,자사몰,11,108900,0
2026-05-09,들기름막국수,스마트스토어,11,108900,2
2026-05-09,들기름막국수,쿠팡,15,148500,0
2026-05-09,트러플리조또,자사몰,9,134100,0
2026-05-09,트러플리조또,스마트스토어,13,193700,0
2026-05-09,트러플리조또,쿠팡,17,253300,0
2026-05-10,감바스 알 아히요,자사몰,15,193500,0
2026-05-10,감바스 알 아히요,스마트스토어,20,258000,1
2026-05-10,감바스 알 아히요,쿠팡,24,309600,0
2026-05-10,들기름막국수,자사몰,10,99000,0
2026-05-10,들기름막국수,스마트스토어,12,118800,0
2026-05-10,들기름막국수,쿠팡,13,128700,0
2026-05-10,트러플리조또,자사몰,11,163900,2
2026-05-10,트러플리조또,스마트스토어,14,208600,4
2026-05-10,트러플리조또,쿠팡,15,223500,3
2026-05-11,감바스 알 아히요,자사몰,15,193500,0
2026-05-11,감바스 알 아히요,스마트스토어,23,296700,3
2026-05-11,감바스 알 아히요,쿠팡,30,387000,0
2026-05-11,들기름막국수,자사몰,8,79200,0
2026-05-11,들기름막국수,스마트스토어,10,99000,0
2026-05-11,들기름막국수,쿠팡,12,118800,0
2026-05-11,트러플리조또,자사몰,11,163900,3
2026-05-11,트러플리조또,스마트스토어,11,163900,1
2026-05-11,트러플리조또,쿠팡,14,208600,5
2026-05-12,감바스 알 아히요,자사몰,16,206400,1
2026-05-12,감바스 알 아히요,스마트스토어,20,258000,0
2026-05-12,감바스 알 아히요,쿠팡,23,296700,0
2026-05-12,들기름막국수,자사몰,9,89100,0
2026-05-12,들기름막국수,스마트스토어,9,89100,0
2026-05-12,들기름막국수,쿠팡,13,128700,0
2026-05-12,트러플리조또,자사몰,8,119200,1
2026-05-12,트러플리조또,스마트스토어,13,193700,6
2026-05-12,트러플리조또,쿠팡,16,238400,1
2026-05-13,감바스 알 아히요,자사몰,18,232200,0
2026-05-13,감바스 알 아히요,스마트스토어,24,309600,0
2026-05-13,감바스 알 아히요,쿠팡,26,335400,0
2026-05-13,들기름막국수,자사몰,9,89100,0
2026-05-13,들기름막국수,스마트스토어,11,108900,0
2026-05-13,들기름막국수,쿠팡,15,148500,0
2026-05-13,트러플리조또,자사몰,8,119200,2
2026-05-13,트러플리조또,스마트스토어,13,193700,2
2026-05-13,트러플리조또,쿠팡,12,178800,0
2026-05-14,감바스 알 아히요,자사몰,15,193500,0
2026-05-14,감바스 알 아히요,스마트스토어,20,258000,0
2026-05-14,감바스 알 아히요,쿠팡,29,374100,0
2026-05-14,들기름막국수,자사몰,9,89100,0
2026-05-14,들기름막국수,스마트스토어,13,128700,0
2026-05-14,들기름막국수,쿠팡,12,118800,0
2026-05-14,트러플리조또,자사몰,10,149000,2
2026-05-14,트러플리조또,스마트스토어,12,178800,4
2026-05-14,트러플리조또,쿠팡,16,238400,3
2026-05-15,감바스 알 아히요,자사몰,17,219300,0
2026-05-15,감바스 알 아히요,스마트스토어,16,206400,0
2026-05-15,감바스 알 아히요,쿠팡,28,361200,0
2026-05-15,들기름막국수,자사몰,8,79200,0
2026-05-15,들기름막국수,스마트스토어,12,118800,0
2026-05-15,들기름막국수,쿠팡,17,168300,1
2026-05-15,트러플리조또,자사몰,9,134100,0
2026-05-15,트러플리조또,스마트스토어,13,193700,2
2026-05-15,트러플리조또,쿠팡,15,223500,2
2026-05-16,감바스 알 아히요,자사몰,18,232200,0
2026-05-16,감바스 알 아히요,스마트스토어,23,296700,0
2026-05-16,감바스 알 아히요,쿠팡,33,425700,1
2026-05-16,들기름막국수,자사몰,10,99000,0
2026-05-16,들기름막국수,스마트스토어,15,148500,0
2026-05-16,들기름막국수,쿠팡,20,198000,0
2026-05-16,트러플리조또,자사몰,13,193700,3
2026-05-16,트러플리조또,스마트스토어,10,149000,1
2026-05-16,트러플리조또,쿠팡,15,223500,3
2026-05-17,감바스 알 아히요,자사몰,16,206400,0
2026-05-17,감바스 알 아히요,스마트스토어,21,270900,0
2026-05-17,감바스 알 아히요,쿠팡,26,335400,0
2026-05-17,들기름막국수,자사몰,13,128700,1
2026-05-17,들기름막국수,스마트스토어,14,138600,0
2026-05-17,들기름막국수,쿠팡,17,168300,1
2026-05-17,트러플리조또,자사몰,11,163900,1
2026-05-17,트러플리조또,스마트스토어,15,223500,2
2026-05-17,트러플리조또,쿠팡,18,268200,2
2026-05-18,감바스 알 아히요,자사몰,13,167700,0
2026-05-18,감바스 알 아히요,스마트스토어,17,219300,0
2026-05-18,감바스 알 아히요,쿠팡,28,361200,0
2026-05-18,들기름막국수,자사몰,9,89100,1
2026-05-18,들기름막국수,스마트스토어,15,148500,0
2026-05-18,들기름막국수,쿠팡,15,148500,0
2026-05-18,트러플리조또,자사몰,9,134100,2
2026-05-18,트러플리조또,스마트스토어,10,149000,1
2026-05-18,트러플리조또,쿠팡,12,178800,0
2026-05-19,감바스 알 아히요,자사몰,15,193500,1
2026-05-19,감바스 알 아히요,스마트스토어,19,245100,0
2026-05-19,감바스 알 아히요,쿠팡,25,322500,0
2026-05-19,들기름막국수,자사몰,10,99000,0
2026-05-19,들기름막국수,스마트스토어,14,138600,1
2026-05-19,들기름막국수,쿠팡,17,168300,0
2026-05-19,트러플리조또,자사몰,9,134100,2
2026-05-19,트러플리조또,스마트스토어,9,134100,0
2026-05-19,트러플리조또,쿠팡,15,223500,2
2026-05-20,감바스 알 아히요,자사몰,15,193500,0
2026-05-20,감바스 알 아히요,스마트스토어,18,232200,0
2026-05-20,감바스 알 아히요,쿠팡,28,361200,0
2026-05-20,들기름막국수,자사몰,11,108900,0
2026-05-20,들기름막국수,스마트스토어,12,118800,0
2026-05-20,들기름막국수,쿠팡,18,178200,1
2026-05-20,트러플리조또,자사몰,9,134100,0
2026-05-20,트러플리조또,스마트스토어,10,149000,0
2026-05-20,트러플리조또,쿠팡,15,223500,2
2026-05-21,감바스 알 아히요,자사몰,14,180600,0
2026-05-21,감바스 알 아히요,스마트스토어,17,219300,0
2026-05-21,감바스 알 아히요,쿠팡,26,335400,0
2026-05-21,들기름막국수,자사몰,11,108900,0
2026-05-21,들기름막국수,스마트스토어,11,108900,0
2026-05-21,들기름막국수,쿠팡,15,148500,0
2026-05-21,트러플리조또,자사몰,8,119200,2
2026-05-21,트러플리조또,스마트스토어,12,178800,1
2026-05-21,트러플리조또,쿠팡,16,238400,3
2026-05-22,감바스 알 아히요,자사몰,18,232200,0
2026-05-22,감바스 알 아히요,스마트스토어,22,283800,0
2026-05-22,감바스 알 아히요,쿠팡,22,283800,0
2026-05-22,들기름막국수,자사몰,10,99000,0
2026-05-22,들기름막국수,스마트스토어,15,148500,0
2026-05-22,들기름막국수,쿠팡,18,178200,0
2026-05-22,트러플리조또,자사몰,9,134100,0
2026-05-22,트러플리조또,스마트스토어,9,134100,3
2026-05-22,트러플리조또,쿠팡,11,163900,2
2026-05-23,감바스 알 아히요,자사몰,20,258000,0
2026-05-23,감바스 알 아히요,스마트스토어,18,232200,0
2026-05-23,감바스 알 아히요,쿠팡,33,425700,0
2026-05-23,들기름막국수,자사몰,12,118800,0
2026-05-23,들기름막국수,스마트스토어,12,118800,1
2026-05-23,들기름막국수,쿠팡,16,158400,1
2026-05-23,트러플리조또,자사몰,9,134100,2
2026-05-23,트러플리조또,스마트스토어,12,178800,4
2026-05-23,트러플리조또,쿠팡,13,193700,1
2026-05-24,감바스 알 아히요,자사몰,14,180600,0
2026-05-24,감바스 알 아히요,스마트스토어,18,232200,0
2026-05-24,감바스 알 아히요,쿠팡,30,387000,0
2026-05-24,들기름막국수,자사몰,11,108900,0
2026-05-24,들기름막국수,스마트스토어,12,118800,0
2026-05-24,들기름막국수,쿠팡,20,198000,1
2026-05-24,트러플리조또,자사몰,9,134100,1
2026-05-24,트러플리조또,스마트스토어,11,163900,0
2026-05-24,트러플리조또,쿠팡,14,208600,1
2026-05-25,감바스 알 아히요,자사몰,17,219300,0
2026-05-25,감바스 알 아히요,스마트스토어,19,245100,0
2026-05-25,감바스 알 아히요,쿠팡,30,387000,1
2026-05-25,들기름막국수,자사몰,11,108900,0
2026-05-25,들기름막국수,스마트스토어,14,138600,1
2026-05-25,들기름막국수,쿠팡,18,178200,0
2026-05-25,트러플리조또,자사몰,9,134100,0
2026-05-25,트러플리조또,스마트스토어,11,163900,0
2026-05-25,트러플리조또,쿠팡,11,163900,1
2026-05-26,감바스 알 아히요,자사몰,16,206400,1
2026-05-26,감바스 알 아히요,스마트스토어,20,258000,1
2026-05-26,감바스 알 아히요,쿠팡,32,412800,0
