응답일,구매제품,만족도,재구매의향,자유응답
2026-04-14,트러플리조또,3,아니오,가격이 조금 부담돼서 할인할 때 살 것 같아요.
2026-04-14,들기름막국수,4,예,조리법이 쉬워서 요리 초보도 성공했어요.
2026-04-16,들기름막국수,4,예,들기름 향이 고소하고 여름에 딱이에요.
2026-04-16,트러플리조또,1,아니오,아이스팩이 다 녹은 채로 도착해서 걱정됐어요.
2026-04-17,들기름막국수,3,아니오,양념이 조금 짜서 물을 더 넣었어요.
2026-04-17,트러플리조또,3,예,무난했어요. 특별하진 않지만 편해요.
2026-04-17,트러플리조또,4,모름,가족들이 다 잘 먹어서 또 시켰어요.
2026-04-17,감바스 알 아히요,4,예,새우가 통통하고 마늘향이 살아있어요.
2026-04-17,트러플리조또,4,예,크림이 진해서 한 그릇으로 든든했어요.
2026-04-17,트러플리조또,5,예,손질된 재료라 설거지가 적어서 좋아요.
2026-04-18,들기름막국수,3,모름,가격이 조금 부담돼서 할인할 때 살 것 같아요.
2026-04-18,감바스 알 아히요,4,예,바게트에 올려 먹으니 와인 안주로 최고였어요.
2026-04-18,감바스 알 아히요,4,모름,포장이 꼼꼼해서 신선하게 받았습니다.
2026-04-19,감바스 알 아히요,5,예,손질된 재료라 설거지가 적어서 좋아요.
2026-04-21,트러플리조또,4,예,포장이 꼼꼼해서 신선하게 받았습니다.
2026-04-23,트러플리조또,4,예,손질된 재료라 설거지가 적어서 좋아요.
2026-04-23,감바스 알 아히요,4,예,조리법이 쉬워서 요리 초보도 성공했어요.
2026-04-24,감바스 알 아히요,4,예,새우가 통통하고 마늘향이 살아있어요.
2026-04-24,들기름막국수,3,모름,1인분치곤 양이 살짝 부족해요.
2026-04-24,트러플리조또,4,모름,조리법이 쉬워서 요리 초보도 성공했어요.
2026-04-25,트러플리조또,5,예,가족들이 다 잘 먹어서 또 시켰어요.
2026-04-26,트러플리조또,3,아니오,배송은 좋았는데 간이 제 입맛엔 셌어요.
2026-04-27,감바스 알 아히요,4,모름,간편하게 근사한 한 끼가 완성됐어요.
2026-04-27,트러플리조또,4,예,크림이 진해서 한 그릇으로 든든했어요.
2026-04-27,감바스 알 아히요,5,예,포장이 꼼꼼해서 신선하게 받았습니다.
2026-04-27,트러플리조또,4,예,크림이 진해서 한 그릇으로 든든했어요.
2026-04-28,감바스 알 아히요,3,예,새우 크기가 생각보다 작았어요.
2026-04-28,트러플리조또,5,예,레스토랑 부럽지 않은 맛이에요.
2026-04-29,감바스 알 아히요,5,예,새우가 통통하고 마늘향이 살아있어요.
2026-04-30,트러플리조또,4,예,트러플 향이 은은하게 퍼져서 고급스러워요.
2026-04-30,들기름막국수,5,예,가족들이 다 잘 먹어서 또 시켰어요.
2026-05-01,감바스 알 아히요,3,아니오,배송은 좋았는데 간이 제 입맛엔 셌어요.
2026-05-02,트러플리조또,1,예,리조또에서 쉰내가 나서 먹다 버렸어요. 환불 요청했습니다.
2026-05-03,트러플리조또,5,예,레스토랑 부럽지 않은 맛이에요.
2026-05-03,들기름막국수,3,아니오,가격이 조금 부담돼서 할인할 때 살 것 같아요.
2026-05-03,감바스 알 아히요,4,예,레스토랑 부럽지 않은 맛이에요.
2026-05-03,감바스 알 아히요,4,아니오,포장이 꼼꼼해서 신선하게 받았습니다.
2026-05-04,들기름막국수,4,모름,들기름 향이 고소하고 여름에 딱이에요.
2026-05-04,감바스 알 아히요,3,아니오,배송은 좋았는데 간이 제 입맛엔 셌어요.
2026-05-04,감바스 알 아히요,1,아니오,기름이 좀 많은 편이라 느끼했어요.
2026-05-05,들기름막국수,5,예,간편하게 근사한 한 끼가 완성됐어요.
2026-05-05,트러플리조또,5,모름,트러플 향이 은은하게 퍼져서 고급스러워요.
2026-05-05,트러플리조또,3,예,가격이 조금 부담돼서 할인할 때 살 것 같아요.
2026-05-06,들기름막국수,4,예,레스토랑 부럽지 않은 맛이에요.
2026-05-06,트러플리조또,1,아니오,포장이 부풀어 있어서 상한 것 같아 못 먹었어요.
2026-05-07,트러플리조또,4,예,트러플 향이 은은하게 퍼져서 고급스러워요.
2026-05-07,감바스 알 아히요,3,모름,가격이 조금 부담돼서 할인할 때 살 것 같아요.
2026-05-07,트러플리조또,3,아니오,무난했어요. 특별하진 않지만 편해요.
2026-05-08,들기름막국수,4,예,레스토랑 부럽지 않은 맛이에요.
2026-05-08,감바스 알 아히요,5,모름,손질된 재료라 설거지가 적어서 좋아요.
2026-05-10,감바스 알 아히요,5,예,조리법이 쉬워서 요리 초보도 성공했어요.
2026-05-10,들기름막국수,3,모름,무난했어요. 특별하진 않지만 편해요.
2026-05-10,트러플리조또,3,예,가격이 조금 부담돼서 할인할 때 살 것 같아요.
2026-05-10,트러플리조또,3,아니오,가격 대비 양이 적은 느낌이에요.
2026-05-10,트러플리조또,3,모름,가격이 조금 부담돼서 할인할 때 살 것 같아요.
2026-05-11,트러플리조또,1,예,냄새가 이상해서 바로 환불했어요. 관리가 필요해 보여요.
2026-05-11,감바스 알 아히요,5,예,손질된 재료라 설거지가 적어서 좋아요.
2026-05-12,감바스 알 아히요,5,예,간편하게 근사한 한 끼가 완성됐어요.
2026-05-12,들기름막국수,2,아니오,양념이 조금 짜서 물을 더 넣었어요.
2026-05-12,감바스 알 아히요,3,아니오,가격이 조금 부담돼서 할인할 때 살 것 같아요.
2026-05-13,트러플리조또,5,예,손질된 재료라 설거지가 적어서 좋아요.
2026-05-14,트러플리조또,2,아니오,밥알이 떡지고 상태가 이상했어요. 실망했습니다.
2026-05-14,트러플리조또,3,아니오,배송은 좋았는데 간이 제 입맛엔 셌어요.
2026-05-14,트러플리조또,2,모름,냄새가 이상해서 바로 환불했어요. 관리가 필요해 보여요.
2026-05-15,트러플리조또,3,예,무난했어요. 특별하진 않지만 편해요.
2026-05-16,감바스 알 아히요,4,예,바게트에 올려 먹으니 와인 안주로 최고였어요.
2026-05-16,감바스 알 아히요,4,아니오,포장이 꼼꼼해서 신선하게 받았습니다.
2026-05-16,들기름막국수,5,예,가족들이 다 잘 먹어서 또 시켰어요.
2026-05-17,들기름막국수,3,아니오,양념이 조금 짜서 물을 더 넣었어요.
2026-05-17,트러플리조또,2,아니오,냄새가 이상해서 바로 환불했어요. 관리가 필요해 보여요.
2026-05-17,트러플리조또,3,예,가격 대비 양이 적은 느낌이에요.
2026-05-18,감바스 알 아히요,3,예,무난했어요. 특별하진 않지만 편해요.
2026-05-18,들기름막국수,5,예,포장이 꼼꼼해서 신선하게 받았습니다.
2026-05-18,들기름막국수,3,모름,가격이 조금 부담돼서 할인할 때 살 것 같아요.
2026-05-18,감바스 알 아히요,4,예,바게트에 올려 먹으니 와인 안주로 최고였어요.
2026-05-19,들기름막국수,3,아니오,양념이 조금 짜서 물을 더 넣었어요.
2026-05-19,들기름막국수,4,예,조리법이 쉬워서 요리 초보도 성공했어요.
2026-05-19,감바스 알 아히요,1,모름,아이스팩이 다 녹은 채로 도착해서 걱정됐어요.
2026-05-19,감바스 알 아히요,3,모름,무난했어요. 특별하진 않지만 편해요.
2026-05-20,들기름막국수,3,모름,맛은 괜찮은데 양이 조금 아쉬워요.
2026-05-20,감바스 알 아히요,5,예,조리법이 쉬워서 요리 초보도 성공했어요.
2026-05-20,들기름막국수,4,모름,더운 날 입맛 없을 때 술술 넘어가요.
2026-05-20,감바스 알 아히요,4,예,바게트에 올려 먹으니 와인 안주로 최고였어요.
2026-05-20,감바스 알 아히요,1,예,배송이 하루 늦어서 계획한 날 못 먹었어요.
2026-05-21,들기름막국수,4,예,손질된 재료라 설거지가 적어서 좋아요.
2026-05-21,들기름막국수,5,예,조리법이 쉬워서 요리 초보도 성공했어요.
2026-05-21,감바스 알 아히요,4,예,손질된 재료라 설거지가 적어서 좋아요.
2026-05-22,감바스 알 아히요,4,예,포장이 꼼꼼해서 신선하게 받았습니다.
2026-05-23,트러플리조또,5,아니오,손질된 재료라 설거지가 적어서 좋아요.
2026-05-23,트러플리조또,1,아니오,밥알이 떡지고 상태가 이상했어요. 실망했습니다.
2026-05-23,들기름막국수,3,모름,양념이 조금 짜서 물을 더 넣었어요.
2026-05-24,트러플리조또,3,모름,배송은 좋았는데 간이 제 입맛엔 셌어요.
2026-05-24,감바스 알 아히요,4,예,포장이 꼼꼼해서 신선하게 받았습니다.
2026-05-26,감바스 알 아히요,4,예,손질된 재료라 설거지가 적어서 좋아요.
2026-05-26,들기름막국수,3,모름,무난했어요. 특별하진 않지만 편해요.
2026-05-27,감바스 알 아히요,2,예,새우 크기가 생각보다 작았어요.
2026-05-27,감바스 알 아히요,4,예,올리브유 향이 좋아서 자꾸 생각나요.
2026-05-28,트러플리조또,3,모름,배송은 좋았는데 간이 제 입맛엔 셌어요.
2026-05-28,트러플리조또,3,예,맛은 괜찮은데 양이 조금 아쉬워요.
2026-05-29,들기름막국수,3,아니오,1인분치곤 양이 살짝 부족해요.
2026-05-29,트러플리조또,4,예,레스토랑 부럽지 않은 맛이에요.
2026-05-30,들기름막국수,3,아니오,양념이 조금 짜서 물을 더 넣었어요.
2026-05-30,트러플리조또,3,모름,무난했어요. 특별하진 않지만 편해요.
2026-05-31,감바스 알 아히요,3,예,맛은 괜찮은데 양이 조금 아쉬워요.
2026-06-01,감바스 알 아히요,5,예,조리법이 쉬워서 요리 초보도 성공했어요.
2026-06-01,감바스 알 아히요,4,예,포장이 꼼꼼해서 신선하게 받았습니다.
2026-06-02,감바스 알 아히요,3,모름,맛은 괜찮은데 양이 조금 아쉬워요.
2026-06-02,감바스 알 아히요,5,예,새우가 통통하고 마늘향이 살아있어요.
2026-06-03,트러플리조또,4,예,레스토랑 부럽지 않은 맛이에요.
2026-06-03,트러플리조또,5,예,조리법이 쉬워서 요리 초보도 성공했어요.
2026-06-05,감바스 알 아히요,4,예,올리브유 향이 좋아서 자꾸 생각나요.
2026-06-05,감바스 알 아히요,5,예,간편하게 근사한 한 끼가 완성됐어요.
2026-06-05,들기름막국수,1,아니오,배송이 하루 늦어서 계획한 날 못 먹었어요.
2026-06-06,트러플리조또,4,모름,조리법이 쉬워서 요리 초보도 성공했어요.
2026-06-06,감바스 알 아히요,4,예,손질된 재료라 설거지가 적어서 좋아요.
2026-06-06,감바스 알 아히요,4,모름,새우가 통통하고 마늘향이 살아있어요.
2026-06-07,들기름막국수,4,예,조리법이 쉬워서 요리 초보도 성공했어요.
2026-06-07,트러플리조또,5,예,간편하게 근사한 한 끼가 완성됐어요.
2026-06-07,트러플리조또,2,모름,트러플 향이 약해서 아쉬웠어요.
2026-06-07,들기름막국수,5,예,레스토랑 부럽지 않은 맛이에요.
2026-06-09,트러플리조또,4,예,간편하게 근사한 한 끼가 완성됐어요.
2026-06-09,들기름막국수,4,예,조리법이 쉬워서 요리 초보도 성공했어요.
2026-06-09,트러플리조또,2,아니오,배송이 하루 늦어서 계획한 날 못 먹었어요.
2026-06-09,트러플리조또,4,모름,간편하게 근사한 한 끼가 완성됐어요.
2026-06-10,트러플리조또,4,예,특별한 날 분위기 내기 좋았어요.
2026-06-10,들기름막국수,3,모름,양념이 조금 짜서 물을 더 넣었어요.
2026-06-11,트러플리조또,3,모름,무난했어요. 특별하진 않지만 편해요.
2026-06-12,감바스 알 아히요,2,예,기름이 좀 많은 편이라 느끼했어요.
2026-06-12,감바스 알 아히요,3,모름,무난했어요. 특별하진 않지만 편해요.
2026-06-13,들기름막국수,4,모름,면발이 쫄깃하고 시원하게 잘 먹었어요.
2026-06-13,감바스 알 아히요,5,예,바게트에 올려 먹으니 와인 안주로 최고였어요.
2026-06-13,트러플리조또,3,예,트러플 향이 약해서 아쉬웠어요.
2026-06-14,감바스 알 아히요,1,모름,새우 크기가 생각보다 작았어요.
2026-06-14,들기름막국수,4,예,면발이 쫄깃하고 시원하게 잘 먹었어요.
2026-06-14,들기름막국수,3,모름,무난했어요. 특별하진 않지만 편해요.
2026-06-15,들기름막국수,4,예,면발이 쫄깃하고 시원하게 잘 먹었어요.
2026-06-15,트러플리조또,4,모름,손질된 재료라 설거지가 적어서 좋아요.
2026-06-16,트러플리조또,2,아니오,배송이 하루 늦어서 계획한 날 못 먹었어요.
2026-06-17,감바스 알 아히요,4,예,손질된 재료라 설거지가 적어서 좋아요.
2026-06-18,감바스 알 아히요,5,예,간편하게 근사한 한 끼가 완성됐어요.
2026-06-18,트러플리조또,4,예,크림이 진해서 한 그릇으로 든든했어요.
2026-06-19,트러플리조또,3,아니오,가격이 조금 부담돼서 할인할 때 살 것 같아요.
2026-06-20,트러플리조또,4,예,가족들이 다 잘 먹어서 또 시켰어요.
2026-06-21,트러플리조또,4,예,손질된 재료라 설거지가 적어서 좋아요.
2026-06-21,들기름막국수,4,아니오,레스토랑 부럽지 않은 맛이에요.
2026-06-22,들기름막국수,4,예,조리법이 쉬워서 요리 초보도 성공했어요.
2026-06-22,감바스 알 아히요,3,예,무난했어요. 특별하진 않지만 편해요.
2026-06-22,들기름막국수,3,모름,양념이 조금 짜서 물을 더 넣었어요.
2026-06-23,감바스 알 아히요,5,예,바게트에 올려 먹으니 와인 안주로 최고였어요.
2026-06-23,감바스 알 아히요,3,아니오,새우 크기가 생각보다 작았어요.
2026-06-23,들기름막국수,5,예,손질된 재료라 설거지가 적어서 좋아요.
2026-06-24,감바스 알 아히요,2,모름,새우 크기가 생각보다 작았어요.
2026-06-24,감바스 알 아히요,4,모름,손질된 재료라 설거지가 적어서 좋아요.
2026-06-25,감바스 알 아히요,5,모름,포장이 꼼꼼해서 신선하게 받았습니다.
2026-06-25,감바스 알 아히요,4,예,레스토랑 부럽지 않은 맛이에요.
2026-06-26,트러플리조또,5,예,레스토랑 부럽지 않은 맛이에요.
2026-06-26,트러플리조또,2,아니오,포장 박스가 찌그러져서 왔어요.
2026-06-27,감바스 알 아히요,2,예,새우 크기가 생각보다 작았어요.
2026-06-27,트러플리조또,3,예,배송은 좋았는데 간이 제 입맛엔 셌어요.
2026-06-27,들기름막국수,5,예,레스토랑 부럽지 않은 맛이에요.
2026-06-27,감바스 알 아히요,4,예,새우가 통통하고 마늘향이 살아있어요.
2026-06-27,트러플리조또,4,예,가족들이 다 잘 먹어서 또 시켰어요.
2026-06-28,들기름막국수,5,예,포장이 꼼꼼해서 신선하게 받았습니다.
2026-06-28,트러플리조또,4,예,특별한 날 분위기 내기 좋았어요.
2026-06-28,감바스 알 아히요,4,모름,포장이 꼼꼼해서 신선하게 받았습니다.
2026-06-28,감바스 알 아히요,3,모름,기름이 좀 많은 편이라 느끼했어요.
2026-06-29,트러플리조또,4,예,트러플 향이 은은하게 퍼져서 고급스러워요.
2026-06-29,감바스 알 아히요,2,모름,기름이 좀 많은 편이라 느끼했어요.
2026-06-29,들기름막국수,4,예,레스토랑 부럽지 않은 맛이에요.
2026-06-30,들기름막국수,1,아니오,배송이 하루 늦어서 계획한 날 못 먹었어요.
